index,coef,timepoint,condition,subj,roi
cpe_2_07,0.112612205301,6,cpe_2,pc07,yeo17_ifs
cpe_2_08,0.0586853571454,7,cpe_2,pc07,yeo17_ifs
cpe_2_09,0.020365846431,8,cpe_2,pc07,yeo17_ifs
cpe_2_10,0.00380228362305,9,cpe_2,pc07,yeo17_ifs
cpe_2_11,-0.000444559859239,10,cpe_2,pc07,yeo17_ifs
cpe_2_12,-0.0124608868469,11,cpe_2,pc07,yeo17_ifs
cpe_2_13,-0.0341246869705,12,cpe_2,pc07,yeo17_ifs
cpe_2_14,-0.0507767287536,13,cpe_2,pc07,yeo17_ifs
cpe_2_15,-0.0539767133774,14,cpe_2,pc07,yeo17_ifs
cpe_2_16,-0.0361325130693,15,cpe_2,pc07,yeo17_ifs
cpe_2_17,-0.025265270264,16,cpe_2,pc07,yeo17_ifs
cpe_2_18,-0.0284704925995,17,cpe_2,pc07,yeo17_ifs
cpe_2_19,-0.0382116206862,18,cpe_2,pc07,yeo17_ifs
cpe_2_20,-0.0383793321678,19,cpe_2,pc07,yeo17_ifs
cpe_2_21,-0.0277883652035,20,cpe_2,pc07,yeo17_ifs
cpe_2_22,-0.0159340405589,21,cpe_2,pc07,yeo17_ifs
cpe_2_23,-0.00682790145769,22,cpe_2,pc07,yeo17_ifs
cpe_1_00,0.0184138807627,-1,cpe_1,pc07,yeo17_ifs
cpe_1_01,0.016520622382,0,cpe_1,pc07,yeo17_ifs
cpe_1_02,0.0255626199897,1,cpe_1,pc07,yeo17_ifs
cpe_1_03,0.0691841351231,2,cpe_1,pc07,yeo17_ifs
cpe_1_04,0.12184464736,3,cpe_1,pc07,yeo17_ifs
cpe_1_05,0.136974436735,4,cpe_1,pc07,yeo17_ifs
cpe_1_06,0.116708916597,5,cpe_1,pc07,yeo17_ifs
cpe_1_07,0.088817121505,6,cpe_1,pc07,yeo17_ifs
cpe_1_08,0.0610854337329,7,cpe_1,pc07,yeo17_ifs
cpe_1_09,0.0367731583708,8,cpe_1,pc07,yeo17_ifs
cpe_1_10,0.026488845841,9,cpe_1,pc07,yeo17_ifs
cpe_1_11,0.02077438575,10,cpe_1,pc07,yeo17_ifs
cpe_1_12,0.00582683572778,11,cpe_1,pc07,yeo17_ifs
cpe_1_13,-0.0123054230685,12,cpe_1,pc07,yeo17_ifs
cpe_1_14,-0.0227957169756,13,cpe_1,pc07,yeo17_ifs
cpe_1_15,-0.0308759661491,14,cpe_1,pc07,yeo17_ifs
cpe_1_16,-0.0394355185275,15,cpe_1,pc07,yeo17_ifs
cpe_1_17,-0.0450251259199,16,cpe_1,pc07,yeo17_ifs
cpe_1_18,-0.0360012827134,17,cpe_1,pc07,yeo17_ifs
cpe_1_19,-0.0275370997361,18,cpe_1,pc07,yeo17_ifs
cpe_1_20,-0.0242370957565,19,cpe_1,pc07,yeo17_ifs
cpe_1_21,-0.0367732983654,20,cpe_1,pc07,yeo17_ifs
cpe_1_22,-0.0373458287628,21,cpe_1,pc07,yeo17_ifs
cpe_1_23,-0.0164539002349,22,cpe_1,pc07,yeo17_ifs
cpe_3_00,-0.0147074259704,-1,cpe_3,pc07,yeo17_ips
cpe_3_01,-0.00629199465174,0,cpe_3,pc07,yeo17_ips
cpe_3_02,0.0273229943924,1,cpe_3,pc07,yeo17_ips
cpe_3_03,0.0887361061473,2,cpe_3,pc07,yeo17_ips
cpe_3_04,0.153752725496,3,cpe_3,pc07,yeo17_ips
cpe_3_05,0.190876770252,4,cpe_3,pc07,yeo17_ips
cpe_3_06,0.184414002732,5,cpe_3,pc07,yeo17_ips
cpe_3_07,0.140931672547,6,cpe_3,pc07,yeo17_ips
cpe_3_08,0.0853510002598,7,cpe_3,pc07,yeo17_ips
cpe_3_09,0.0368099086212,8,cpe_3,pc07,yeo17_ips
cpe_3_10,0.00394228186885,9,cpe_3,pc07,yeo17_ips
cpe_3_11,-0.0129491238835,10,cpe_3,pc07,yeo17_ips
cpe_3_12,-0.0168479618159,11,cpe_3,pc07,yeo17_ips
cpe_3_13,-0.0168328776963,12,cpe_3,pc07,yeo17_ips
cpe_3_14,-0.0211672744962,13,cpe_3,pc07,yeo17_ips
cpe_3_15,-0.0181043107857,14,cpe_3,pc07,yeo17_ips
cpe_3_16,-0.0065029580362,15,cpe_3,pc07,yeo17_ips
cpe_3_17,-0.00114993386649,16,cpe_3,pc07,yeo17_ips
cpe_3_18,-0.00513626093805,17,cpe_3,pc07,yeo17_ips
cpe_3_19,-0.0125222981231,18,cpe_3,pc07,yeo17_ips
cpe_3_20,-0.0193911560344,19,cpe_3,pc07,yeo17_ips
cpe_3_21,-0.0172419573186,20,cpe_3,pc07,yeo17_ips
cpe_3_22,-0.00547847250949,21,cpe_3,pc07,yeo17_ips
cpe_3_23,0.00485652937389,22,cpe_3,pc07,yeo17_ips
cpe_4_00,0.0158715758351,-1,cpe_4,pc07,yeo17_ips
cpe_4_01,0.0145524509657,0,cpe_4,pc07,yeo17_ips
cpe_4_02,0.0398096964079,1,cpe_4,pc07,yeo17_ips
cpe_4_03,0.100921685613,2,cpe_4,pc07,yeo17_ips
cpe_4_04,0.16669273473,3,cpe_4,pc07,yeo17_ips
cpe_4_05,0.198914696757,4,cpe_4,pc07,yeo17_ips
cpe_4_06,0.18701322532,5,cpe_4,pc07,yeo17_ips
cpe_4_07,0.148738558486,6,cpe_4,pc07,yeo17_ips
cpe_4_08,0.101999149269,7,cpe_4,pc07,yeo17_ips
cpe_4_09,0.0505817188674,8,cpe_4,pc07,yeo17_ips
cpe_4_10,0.00435524804539,9,cpe_4,pc07,yeo17_ips
cpe_4_11,-0.02221684085,10,cpe_4,pc07,yeo17_ips
cpe_4_12,-0.0369602765148,11,cpe_4,pc07,yeo17_ips
cpe_4_13,-0.0541516516718,12,cpe_4,pc07,yeo17_ips
cpe_4_14,-0.0718473734537,13,cpe_4,pc07,yeo17_ips
cpe_4_15,-0.0782365803161,14,cpe_4,pc07,yeo17_ips
cpe_4_16,-0.0771899879073,15,cpe_4,pc07,yeo17_ips
cpe_4_17,-0.0706687731054,16,cpe_4,pc07,yeo17_ips
cpe_4_18,-0.0524934749677,17,cpe_4,pc07,yeo17_ips
cpe_4_19,-0.0348385143009,18,cpe_4,pc07,yeo17_ips
cpe_4_20,-0.0265595412351,19,cpe_4,pc07,yeo17_ips
cpe_4_21,-0.0217823941813,20,cpe_4,pc07,yeo17_ips
cpe_4_22,-0.0182118547212,21,cpe_4,pc07,yeo17_ips
cpe_4_23,-0.0168796305948,22,cpe_4,pc07,yeo17_ips
error_00,-0.0151716923603,-1,error,pc07,yeo17_ips
error_01,-0.0319185909754,0,error,pc07,yeo17_ips
error_02,-0.00887225177617,1,error,pc07,yeo17_ips
error_03,0.0741885387357,2,error,pc07,yeo17_ips
error_04,0.178241726822,3,error,pc07,yeo17_ips
error_05,0.237068952926,4,error,pc07,yeo17_ips
error_06,0.228990497786,5,error,pc07,yeo17_ips
error_07,0.194411425001,6,error,pc07,yeo17_ips
error_08,0.162525703528,7,error,pc07,yeo17_ips
error_09,0.127835873722,8,error,pc07,yeo17_ips
error_10,0.0817480088278,9,error,pc07,yeo17_ips
error_11,0.0357777717503,10,error,pc07,yeo17_ips
error_12,0.00545509248392,11,error,pc07,yeo17_ips
error_13,0.00157617335189,12,error,pc07,yeo17_ips
error_14,-0.00431741535631,13,error,pc07,yeo17_ips
error_15,-0.0230127215139,14,error,pc07,yeo17_ips
error_16,-0.036905778677,15,error,pc07,yeo17_ips
error_17,-0.0260215520169,16,error,pc07,yeo17_ips
error_18,-0.017139812267,17,error,pc07,yeo17_ips
error_19,-0.0284431761664,18,error,pc07,yeo17_ips
error_20,-0.0548703806106,19,error,pc07,yeo17_ips
error_21,-0.0702324363633,20,error,pc07,yeo17_ips
error_22,-0.0677812207734,21,error,pc07,yeo17_ips
error_23,-0.0500546023643,22,error,pc07,yeo17_ips
cpe_2_00,0.00755564861572,-1,cpe_2,pc07,yeo17_ips
cpe_2_01,0.0149181140828,0,cpe_2,pc07,yeo17_ips
cpe_2_02,0.0388908280552,1,cpe_2,pc07,yeo17_ips
cpe_2_03,0.084303157728,2,cpe_2,pc07,yeo17_ips
cpe_2_04,0.135977586347,3,cpe_2,pc07,yeo17_ips
cpe_2_05,0.169621518675,4,cpe_2,pc07,yeo17_ips
cpe_2_06,0.166504853223,5,cpe_2,pc07,yeo17_ips
cpe_2_07,0.126559823162,6,cpe_2,pc07,yeo17_ips
cpe_2_08,0.0747658535702,7,cpe_2,pc07,yeo17_ips
cpe_2_09,0.0292700704128,8,cpe_2,pc07,yeo17_ips
cpe_2_10,-0.0019460926244,9,cpe_2,pc07,yeo17_ips
cpe_2_11,-0.0106262877915,10,cpe_2,pc07,yeo17_ips
cpe_2_12,-0.0148146068635,11,cpe_2,pc07,yeo17_ips
cpe_2_13,-0.035939216771,12,cpe_2,pc07,yeo17_ips
cpe_2_14,-0.0613307270649,13,cpe_2,pc07,yeo17_ips
cpe_2_15,-0.0649509093266,14,cpe_2,pc07,yeo17_ips
cpe_2_16,-0.0452008234942,15,cpe_2,pc07,yeo17_ips
cpe_2_17,-0.0366238456712,16,cpe_2,pc07,yeo17_ips
cpe_2_18,-0.041341424421,17,cpe_2,pc07,yeo17_ips
cpe_2_19,-0.0457051038874,18,cpe_2,pc07,yeo17_ips
cpe_2_20,-0.0402899739216,19,cpe_2,pc07,yeo17_ips
cpe_2_21,-0.025266918627,20,cpe_2,pc07,yeo17_ips
cpe_2_22,-0.0113739749578,21,cpe_2,pc07,yeo17_ips
cpe_2_23,-0.00794648621005,22,cpe_2,pc07,yeo17_ips
cpe_1_00,0.0154081255695,-1,cpe_1,pc07,yeo17_ips
cpe_1_01,0.00632713928405,0,cpe_1,pc07,yeo17_ips
cpe_1_02,0.0193398706626,1,cpe_1,pc07,yeo17_ips
cpe_1_03,0.071899022967,2,cpe_1,pc07,yeo17_ips
cpe_1_04,0.1257127208,3,cpe_1,pc07,yeo17_ips
cpe_1_05,0.141846127933,4,cpe_1,pc07,yeo17_ips
cpe_1_06,0.128221157843,5,cpe_1,pc07,yeo17_ips
cpe_1_07,0.10166769866,6,cpe_1,pc07,yeo17_ips
cpe_1_08,0.0721121485209,7,cpe_1,pc07,yeo17_ips
cpe_1_09,0.0458976918264,8,cpe_1,pc07,yeo17_ips
cpe_1_10,0.0305294134875,9,cpe_1,pc07,yeo17_ips
cpe_1_11,0.0201727799887,10,cpe_1,pc07,yeo17_ips
cpe_1_12,0.00841939502756,11,cpe_1,pc07,yeo17_ips
cpe_1_13,-0.00256431928298,12,cpe_1,pc07,yeo17_ips
cpe_1_14,-0.0105537656762,13,cpe_1,pc07,yeo17_ips
cpe_1_15,-0.0217443579471,14,cpe_1,pc07,yeo17_ips
cpe_1_16,-0.0332958620799,15,cpe_1,pc07,yeo17_ips
cpe_1_17,-0.0430611822729,16,cpe_1,pc07,yeo17_ips
cpe_1_18,-0.0410502361136,17,cpe_1,pc07,yeo17_ips
cpe_1_19,-0.0332674543333,18,cpe_1,pc07,yeo17_ips
cpe_1_20,-0.0236381523838,19,cpe_1,pc07,yeo17_ips
cpe_1_21,-0.0314024306129,20,cpe_1,pc07,yeo17_ips
cpe_1_22,-0.0344049008845,21,cpe_1,pc07,yeo17_ips
cpe_1_23,-0.0203341046993,22,cpe_1,pc07,yeo17_ips
cpe_3_00,-0.011124380988,-1,cpe_3,pc07,yeo17_mspl
cpe_3_01,-0.0114931934117,0,cpe_3,pc07,yeo17_mspl
cpe_3_02,0.00685645912888,1,cpe_3,pc07,yeo17_mspl
cpe_3_03,0.0381366986005,2,cpe_3,pc07,yeo17_mspl
cpe_3_04,0.0663906671661,3,cpe_3,pc07,yeo17_mspl
cpe_3_05,0.0777338692698,4,cpe_3,pc07,yeo17_mspl
cpe_3_06,0.0588972100872,5,cpe_3,pc07,yeo17_mspl
cpe_3_07,0.0180791945359,6,cpe_3,pc07,yeo17_mspl
cpe_3_08,-0.0201161513055,7,cpe_3,pc07,yeo17_mspl
cpe_3_09,-0.0409337024966,8,cpe_3,pc07,yeo17_mspl
cpe_3_10,-0.0518016579744,9,cpe_3,pc07,yeo17_mspl
cpe_3_11,-0.0563022097929,10,cpe_3,pc07,yeo17_mspl
cpe_3_12,-0.0512831256019,11,cpe_3,pc07,yeo17_mspl
cpe_3_13,-0.045029626611,12,cpe_3,pc07,yeo17_mspl
cpe_3_14,-0.0439094936157,13,cpe_3,pc07,yeo17_mspl
cpe_3_15,-0.0493004588058,14,cpe_3,pc07,yeo17_mspl
cpe_3_16,-0.0492791460983,15,cpe_3,pc07,yeo17_mspl
cpe_3_17,-0.0332188808607,16,cpe_3,pc07,yeo17_mspl
cpe_3_18,-0.0127215205454,17,cpe_3,pc07,yeo17_mspl
cpe_3_19,-0.0144108780264,18,cpe_3,pc07,yeo17_mspl
cpe_3_20,-0.0419005027655,19,cpe_3,pc07,yeo17_mspl
cpe_3_21,-0.0591251981381,20,cpe_3,pc07,yeo17_mspl
cpe_3_22,-0.0450149705802,21,cpe_3,pc07,yeo17_mspl
cpe_3_23,-0.0237360231829,22,cpe_3,pc07,yeo17_mspl
cpe_4_00,0.00714284685709,-1,cpe_4,pc07,yeo17_mspl
cpe_4_01,0.000893261615143,0,cpe_4,pc07,yeo17_mspl
cpe_4_02,0.0100091332048,1,cpe_4,pc07,yeo17_mspl
cpe_4_03,0.0392364191339,2,cpe_4,pc07,yeo17_mspl
cpe_4_04,0.0654510851523,3,cpe_4,pc07,yeo17_mspl
cpe_4_05,0.0641295163188,4,cpe_4,pc07,yeo17_mspl
cpe_4_06,0.0368860493547,5,cpe_4,pc07,yeo17_mspl
cpe_4_07,0.00337669073946,6,cpe_4,pc07,yeo17_mspl
cpe_4_08,-0.0238011512501,7,cpe_4,pc07,yeo17_mspl
cpe_4_09,-0.054779200796,8,cpe_4,pc07,yeo17_mspl
cpe_4_10,-0.0867772370239,9,cpe_4,pc07,yeo17_mspl
cpe_4_11,-0.102235443528,10,cpe_4,pc07,yeo17_mspl
cpe_4_12,-0.101102645953,11,cpe_4,pc07,yeo17_mspl
cpe_4_13,-0.105411472626,12,cpe_4,pc07,yeo17_mspl
cpe_4_14,-0.110757276788,13,cpe_4,pc07,yeo17_mspl
cpe_4_15,-0.0967265538124,14,cpe_4,pc07,yeo17_mspl
cpe_4_16,-0.0714692417908,15,cpe_4,pc07,yeo17_mspl
cpe_4_17,-0.0496724479384,16,cpe_4,pc07,yeo17_mspl
cpe_4_18,-0.0326852122632,17,cpe_4,pc07,yeo17_mspl
cpe_4_19,-0.0250977764104,18,cpe_4,pc07,yeo17_mspl
cpe_4_20,-0.0258831175559,19,cpe_4,pc07,yeo17_mspl
cpe_4_21,-0.0255293121294,20,cpe_4,pc07,yeo17_mspl
cpe_4_22,-0.0230561183307,21,cpe_4,pc07,yeo17_mspl
cpe_4_23,-0.0249646967036,22,cpe_4,pc07,yeo17_mspl
error_00,-0.0281865041008,-1,error,pc07,yeo17_mspl
error_01,-0.0379568814357,0,error,pc07,yeo17_mspl
error_02,-0.0210726703787,1,error,pc07,yeo17_mspl
error_03,0.0331640205734,2,error,pc07,yeo17_mspl
error_04,0.100760597296,3,error,pc07,yeo17_mspl
error_05,0.145430402906,4,error,pc07,yeo17_mspl
error_06,0.141918616503,5,error,pc07,yeo17_mspl
error_07,0.107643419736,6,error,pc07,yeo17_mspl
error_08,0.069357471555,7,error,pc07,yeo17_mspl
error_09,0.0362583194521,8,error,pc07,yeo17_mspl
error_10,-0.00148168842447,9,error,pc07,yeo17_mspl
error_11,-0.037340202753,10,error,pc07,yeo17_mspl
error_12,-0.0631136003936,11,error,pc07,yeo17_mspl
error_13,-0.0714394267933,12,error,pc07,yeo17_mspl
error_14,-0.0785854754854,13,error,pc07,yeo17_mspl
error_15,-0.0885057772751,14,error,pc07,yeo17_mspl
error_16,-0.0956804922591,15,error,pc07,yeo17_mspl
error_17,-0.0832956108986,16,error,pc07,yeo17_mspl
error_18,-0.0490330797003,17,error,pc07,yeo17_mspl
error_19,-0.0315792048145,18,error,pc07,yeo17_mspl
error_20,-0.0440292330302,19,error,pc07,yeo17_mspl
error_21,-0.0609369143763,20,error,pc07,yeo17_mspl
error_22,-0.0557334145957,21,error,pc07,yeo17_mspl
error_23,-0.031236783809,22,error,pc07,yeo17_mspl
cpe_2_00,0.0132167472514,-1,cpe_2,pc07,yeo17_mspl
cpe_2_01,0.0205861935857,0,cpe_2,pc07,yeo17_mspl
cpe_2_02,0.0386295314188,1,cpe_2,pc07,yeo17_mspl
cpe_2_03,0.0622638446948,2,cpe_2,pc07,yeo17_mspl
cpe_2_04,0.0694696738436,3,cpe_2,pc07,yeo17_mspl
cpe_2_05,0.056584776049,4,cpe_2,pc07,yeo17_mspl
cpe_2_06,0.0309069666502,5,cpe_2,pc07,yeo17_mspl
cpe_2_07,-0.003035615447,6,cpe_2,pc07,yeo17_mspl
cpe_2_08,-0.0364002105992,7,cpe_2,pc07,yeo17_mspl
cpe_2_09,-0.0657742990955,8,cpe_2,pc07,yeo17_mspl
cpe_2_10,-0.0844053523903,9,cpe_2,pc07,yeo17_mspl
cpe_2_11,-0.0785131943362,10,cpe_2,pc07,yeo17_mspl
cpe_2_12,-0.0714623339456,11,cpe_2,pc07,yeo17_mspl
cpe_2_13,-0.0803573067394,12,cpe_2,pc07,yeo17_mspl
cpe_2_14,-0.0880115213349,13,cpe_2,pc07,yeo17_mspl
cpe_2_15,-0.0723344990987,14,cpe_2,pc07,yeo17_mspl
cpe_2_16,-0.0395286030039,15,cpe_2,pc07,yeo17_mspl
cpe_2_17,-0.0271185666076,16,cpe_2,pc07,yeo17_mspl
cpe_2_18,-0.0284732741743,17,cpe_2,pc07,yeo17_mspl
cpe_2_19,-0.0356000359281,18,cpe_2,pc07,yeo17_mspl
cpe_2_20,-0.0387089757011,19,cpe_2,pc07,yeo17_mspl
cpe_2_21,-0.0373641891468,20,cpe_2,pc07,yeo17_mspl
cpe_2_22,-0.0276489758522,21,cpe_2,pc07,yeo17_mspl
cpe_2_23,-0.0213804638672,22,cpe_2,pc07,yeo17_mspl
cpe_1_00,0.0128746876941,-1,cpe_1,pc07,yeo17_mspl
cpe_1_01,0.0104472075547,0,cpe_1,pc07,yeo17_mspl
cpe_1_02,0.0183037277225,1,cpe_1,pc07,yeo17_mspl
cpe_1_03,0.0382425880455,2,cpe_1,pc07,yeo17_mspl
cpe_1_04,0.0480065420039,3,cpe_1,pc07,yeo17_mspl
cpe_1_05,0.0374472023562,4,cpe_1,pc07,yeo17_mspl
cpe_1_06,0.0186554326457,5,cpe_1,pc07,yeo17_mspl
cpe_1_07,-0.00254762969907,6,cpe_1,pc07,yeo17_mspl
cpe_1_08,-0.019614323917,7,cpe_1,pc07,yeo17_mspl
cpe_1_09,-0.02698716397,8,cpe_1,pc07,yeo17_mspl
cpe_1_10,-0.0289547354685,9,cpe_1,pc07,yeo17_mspl
cpe_1_11,-0.0349037057251,10,cpe_1,pc07,yeo17_mspl
cpe_1_12,-0.041521448231,11,cpe_1,pc07,yeo17_mspl
