,param,subj,roi,bold,hemi,region,network
70,cpe,pc16,lh.yeo17_pcc,27.698528289794922,lh,pcc,med
71,cpe,pc16,rh.yeo17_pcc,19.529132843017578,rh,pcc,med
72,cpe,pc17,lh.yeo17_ifs,31.143781661987305,lh,ifs,lat
73,cpe,pc17,rh.yeo17_ifs,17.736343383789062,rh,ifs,lat
74,cpe,pc17,lh.yeo17_ips,38.13703536987305,lh,ips,lat
75,cpe,pc17,rh.yeo17_ips,27.24416160583496,rh,ips,lat
76,cpe,pc17,lh.yeo17_mspl,19.028545379638672,lh,mspl,med
77,cpe,pc17,rh.yeo17_mspl,14.724804878234863,rh,mspl,med
78,cpe,pc17,lh.yeo17_pcc,14.11665153503418,lh,pcc,med
79,cpe,pc17,rh.yeo17_pcc,11.67708683013916,rh,pcc,med
80,cpe,pc18,lh.yeo17_ifs,15.230783462524414,lh,ifs,lat
81,cpe,pc18,rh.yeo17_ifs,18.660396575927734,rh,ifs,lat
82,cpe,pc18,lh.yeo17_ips,42.60100173950195,lh,ips,lat
83,cpe,pc18,rh.yeo17_ips,31.481657028198242,rh,ips,lat
84,cpe,pc18,lh.yeo17_mspl,41.1220703125,lh,mspl,med
85,cpe,pc18,rh.yeo17_mspl,37.090919494628906,rh,mspl,med
86,cpe,pc18,lh.yeo17_pcc,33.14522171020508,lh,pcc,med
87,cpe,pc18,rh.yeo17_pcc,33.91236114501953,rh,pcc,med
88,cpe,pc19,lh.yeo17_ifs,15.817556381225586,lh,ifs,lat
89,cpe,pc19,rh.yeo17_ifs,13.330047607421875,rh,ifs,lat
90,cpe,pc19,lh.yeo17_ips,18.295372009277344,lh,ips,lat
91,cpe,pc19,rh.yeo17_ips,12.015254020690918,rh,ips,lat
92,cpe,pc19,lh.yeo17_mspl,13.939388275146484,lh,mspl,med
93,cpe,pc19,rh.yeo17_mspl,10.070940017700195,rh,mspl,med
94,cpe,pc19,lh.yeo17_pcc,20.05685043334961,lh,pcc,med
95,cpe,pc19,rh.yeo17_pcc,23.828840255737305,rh,pcc,med
96,cpe,pc22,lh.yeo17_ifs,26.535985946655273,lh,ifs,lat
