subj,roi,param,cope,cope_within
pc18,yeo17_con,error,54.8284187317,27.0872421265
pc18,yeo17_con,response_time,29.7181720734,24.0691947937
pc18,yeo17_dan,cpe,8.98633861542,4.63639736176
pc18,yeo17_dan,error,41.8463821411,14.1052055359
pc18,yeo17_dan,response_time,15.5067892075,9.8578119278
pc19,yeo17_fpn,cpe,7.50166606903,5.33959531784
pc19,yeo17_fpn,error,-21.0781860352,9.50751209259
pc19,yeo17_fpn,response_time,17.9255714417,22.5382595062
pc19,yeo17_con,cpe,6.89902257919,4.736951828
pc19,yeo17_con,error,13.5339746475,44.1196746826
pc19,yeo17_con,response_time,13.8911457062,18.5038337708
pc19,yeo17_dan,cpe,6.24202537537,4.07995462418
pc19,yeo17_dan,error,-23.5658683777,7.01982975006
pc19,yeo17_dan,response_time,12.718421936,17.3311100006
pc22,yeo17_fpn,cpe,13.4811220169,7.47801971436
pc22,yeo17_fpn,error,15.6400651932,12.2716093063
pc22,yeo17_fpn,response_time,38.2206878662,23.5184078217
pc22,yeo17_con,cpe,7.79665517807,1.79355287552
pc22,yeo17_con,error,51.2041091919,47.8356552124
pc22,yeo17_con,response_time,29.7945709229,15.0922908783
pc22,yeo17_dan,cpe,10.8880338669,4.88493156433
pc22,yeo17_dan,error,3.90820193291,0.539745330811
pc22,yeo17_dan,response_time,34.4647789001,19.7624988556
pc23,yeo17_fpn,cpe,9.7339220047,6.78080415726
pc23,yeo17_fpn,error,27.8482952118,23.8690357208
pc23,yeo17_fpn,response_time,26.3487739563,24.1847667694
pc23,yeo17_con,cpe,6.17918395996,3.22606611252
pc23,yeo17_con,error,38.8266830444,34.8474235535
pc23,yeo17_con,response_time,19.7907562256,17.6267490387
pc23,yeo17_dan,cpe,7.10275030136,4.14963245392
pc23,yeo17_dan,error,5.9098110199,1.93055152893
pc23,yeo17_dan,response_time,18.7256946564,16.5616874695
pc24,yeo17_fpn,cpe,2.43995857239,6.63846349716
pc24,yeo17_fpn,error,23.7687034607,11.5029945374
pc24,yeo17_fpn,response_time,17.3268585205,24.1592140198
pc24,yeo17_con,cpe,-0.140222206712,4.05828285217
pc24,yeo17_con,error,63.3284378052,51.0627288818
pc24,yeo17_con,response_time,13.5009899139,20.3333473206
pc24,yeo17_dan,cpe,-0.738749146461,3.4597556591
pc24,yeo17_dan,error,10.3470106125,-1.91869735718
pc24,yeo17_dan,response_time,7.04828977585,13.880645752
